 ==================== ALOHA result file ====================
 \t\t S \t\t RZheg \t\t K_cpl 
 (-5.96697960825593983E-005,-7.30564416363659595E-005) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.95904746295498047E-004,-6.08620468424281240E-005)
 (-1.24641195456764802E-004,-2.23196114351823064E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 3.79595296703618262E-006,-2.59846103359063813E-005)
 ( 1.78491229597190328E-003,-1.69211949453737845E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 7.46428804988656398E-004, 1.28239357783107330E-003)
 (-6.97666225674429337E-004,-8.65962974334082668E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.29671894220272079E-004, 1.62432163956499344E-004)
 (-1.18000055326088090E-005, 1.88913153345353856E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.49068872094138112E-005,-2.13828879373572468E-005)
 (-1.15230837788114554E-003,-1.50398048958110637E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.36583001009397379E-003, 3.76621852740823915E-004)
 ( 1.51011392810367008E-003, 3.77009932157368094E-005) (  0.0000000000000000     ,  0.0000000000000000     ) (-6.19888482552974140E-005, 2.81186950552753643E-004)
 (-1.05891485045675804E-004,-1.27348551234215826E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.42929960110183791E-005,-4.25239958371561834E-006)
 (-9.78714228174780822E-004, 5.39010594755685380E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.17864887216016442E-003,-6.85635960831692398E-004)
 ( 1.31970182705764064E-003,-6.96851781079972903E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.46285475722151599E-004, 2.39797595816112276E-004)
 (-1.70898023855357742E-004, 4.45681232280453516E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.98410390453131679E-005, 1.06932866175590178E-005)
 (-7.83344697647239130E-002, 8.30856799490105671E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
 (-0.83107467503082444     , 0.51372124377265049     ) (  28.876873835844489     , -28.876873835844489     ) ( 2.30400040001401589E-003, 7.75770482325758036E-005)
 (-1.37927094730992527E-002,-1.28900735512401370E-002) (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
 ( 0.10389131990912485     , 7.31760136170496456E-002) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.16122084828202744E-003, 2.10442859398196462E-004)
 ( 3.73369465712047321E-002, 7.00381931463441576E-002) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.48456912372583118E-004,-1.22677950580696884E-004)
 ( 1.75722764688244805E-002, 3.34524140464293254E-002) (  0.0000000000000000     ,  0.0000000000000000     ) (-5.69939469651507659E-005,-3.97444489058320549E-006)
 ( 2.62005706328607701E-002, 8.39892911023428813E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-4.92350539873053503E-004, 5.64627733011557431E-004)
 ( 5.65494811407049516E-003, 7.69230462289057990E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.37245834697013281E-004,-5.18849790224602963E-005)
 ( 2.00703816100290030E-003, 2.16085849350043310E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.34575553992083076E-006,-9.40698651801182829E-006)
 ( 1.29302440621286204E-002,-1.03113340424578663E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-3.46380847799250612E-007, 6.11356570960592247E-004)
 ( 1.73156323752891904E-003, 2.67864400778580888E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.13744523950923068E-004, 2.62005114484193009E-005)
 ( 6.53955987473917423E-004, 4.99367356748437884E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-3.89020773544555906E-006,-7.92688442099379929E-006)
 ( 6.22201333992294155E-003,-4.56126571750638688E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 3.52687240375814651E-004, 3.89739530703527026E-004)
 ( 1.03847306270015110E-003, 9.89716757682919087E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-6.14403406375478399E-005, 8.15321299497807450E-005)
 ( 4.25718772838331314E-004, 1.83440558075585356E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-7.67729280404165952E-006,-3.98874344540031833E-006)
 ( 1.38028255597068272E-003,-4.95239253205052680E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 4.65985779119684382E-004, 3.21297719533355678E-005)
 ( 9.33775072030879278E-004,-9.84892408243482140E-005) (  0.0000000000000000     ,  0.0000000000000000     ) ( 6.80053769673954012E-006, 9.41924770157394174E-005)
 ( 1.37922890019182985E-004,-1.18504367529806206E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-7.19749222351474655E-006, 1.47942439372028362E-006)
 (-1.88999271088302503E-003,-3.29361176726705035E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 3.28794653465600407E-004,-2.81524827009198980E-004)
 ( 7.65882881007868286E-004,-6.63050362281374594E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 6.16182785956568982E-005, 6.10925094211657230E-005)
 (-1.92600666520341983E-005,-3.06464345690077582E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-3.77764144336537500E-006, 6.02877682232127597E-006)
 (-3.13639973287441025E-003,-9.67784954516370962E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 4.30272456662972888E-005,-4.06540395970024233E-004)
 ( 5.42013302049388257E-004,-7.34176356480812221E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 7.89355391525911051E-005, 2.32024201688486290E-006)
 (-2.64217497049578926E-004,-3.47471413488891043E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.33153071457649815E-006, 6.70773969990972299E-006)
 (-2.59860572196221173E-003, 6.28130671709983064E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.30373832036915303E-004,-3.02928422229393698E-004)
 ( 1.91436018061423005E-004,-6.38121224762728677E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 5.56488087127656248E-005,-5.04692119151233827E-005)
 (-2.20358049039901893E-004,-2.19679314848201813E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 5.21504567501245036E-006, 4.27576687789229650E-006)
 (-1.12318264251552594E-003, 1.53434431205076260E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-3.52797177671952092E-004,-5.23724982446664713E-005)
 ( 3.50860148519349364E-004, 7.44552460919040669E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 8.30922983968473755E-007,-7.22428855784292635E-005)
 ( 1.84006248081903578E-005,-5.26463876644997280E-005) (  0.0000000000000000     ,  0.0000000000000000     ) ( 5.69164493208019348E-006, 1.95584312886565755E-007)
 ( 9.29085516283823160E-004, 1.88598584115755568E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.73735251976033511E-004, 2.02213850164213466E-004)
 ( 1.91095350072425027E-004, 8.26228681222963271E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-4.60823910861901355E-005,-5.34838370254078093E-005)
 (-2.69712407116053240E-004, 4.40859700319701158E-005) (  0.0000000000000000     ,  0.0000000000000000     ) ( 5.32025005654492150E-006,-4.28861928009053719E-006)
 ( 1.53806814801627900E-003, 1.21096484589405692E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-5.18236500967015229E-005, 3.26708585958612947E-004)
 (-4.64736453715099281E-004, 1.06656087079316119E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-6.22850863360273208E-005,-7.79332324941471278E-006)
 ( 7.14995351740558427E-005,-2.00251648433440898E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 7.05182834936258791E-007,-5.50819346780740130E-006)
 ( 1.21421202340070487E-003,-5.71360794760714628E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.77690915779922152E-004, 2.64143186196687566E-004)
 (-1.75687326219538275E-003, 1.35560040889690829E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-4.79761618144970733E-005, 3.04991934666684504E-005)
 ( 2.54921682100589519E-004, 1.19215270549991959E-005) (  0.0000000000000000     ,  0.0000000000000000     ) (-4.38744857157503524E-006,-3.77772460288685360E-006)
 (-2.39036409245368313E-004,-6.45362673314019901E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 2.95904746295498210E-004, 6.08620468424279749E-005)
 (-8.80466828415421571E-005, 8.91332904136506220E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-8.80195760056698024E-006, 6.05990566149638635E-005)
 (-1.74144797218654066E-004, 1.89035107219363157E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-5.15649060531621710E-006,-4.59228458313606360E-007)
 ( 1.29304473422298420E-003, 1.80616963066901895E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 2.29671894220272052E-004,-1.62432163957116607E-004)
 ( 5.00112345963542684E-004,-4.54858138338845358E-005) (  0.0000000000000000     ,  0.0000000000000000     ) ( 3.41550243023792965E-005, 4.91806380091704855E-005)
 ( 1.34731345265174898E-004, 1.23853119772057799E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-3.13995180653383181E-006, 3.33509549417264566E-006)
 (-1.26130926559898959E-003,-5.87076836517088415E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 6.19888482552975631E-005,-2.81186950552767033E-004)
 (-2.47800273925104556E-004,-1.21374014827534474E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 5.66109451453858059E-005, 1.13493348886246244E-005)
 (-3.11579506781127974E-005,-1.99881645156127177E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-5.32414924268064126E-007, 5.04023687649268770E-006)
 (-1.31970182705352522E-003, 6.96851781097409693E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.46285475722151572E-004,-2.39797595816121248E-004)
 (-3.31410705538685065E-005,-2.94548011425896578E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 4.48028933674675362E-005,-3.15451760477741271E-005)
